manager_short_name,manager,player_name,team,photo,player_id,points,ppg
AA,Ali,A.Becker,LIV,116535,1,3.0,3.0
ST,Shrey,Maddison,TOT,172780,1,9.0,9.0
WN,Will,Robertson,LIV,122798,1,2.0,2.0
WN,Will,Nketiah,ARS,205533,1,8.0,8.0
WN,Will,Martinelli,ARS,444145,1,5.0,5.0
WN,Will,Leno,FUL,80201,1,12.0,12.0
WN,Will,James,CHE,225796,1,2.0,2.0
WN,Will,Guéhi,CRY,209036,1,6.0,6.0
WN,Will,Edouard,CRY,199670,1,7.0,7.0
WN,Will,Diaby,AVL,243557,1,7.0,7.0
WN,Will,Bruno G.,NEW,208706,1,1.0,1.0
WN,Will,Antony,MUN,467169,1,3.0,3.0
ST,Shrey,Solanke,BOU,154566,1,7.0,7.0
ST,Shrey,Ream,FUL,82514,1,7.0,7.0
ST,Shrey,Mings,AVL,149484,1,0.0,0.0
ST,Shrey,Martinez,AVL,98980,1,1.0,1.0
ST,Shrey,Kilman,WOL,214048,1,2.0,2.0
AA,Ali,Akanji,MCI,211975,1,6.0,6.0
ST,Shrey,Kane,TOT,78830,1,0.0,0.0
ST,Shrey,J.Alvarez,MCI,461358,1,5.0,5.0
ST,Shrey,Iwobi,EVE,153133,1,2.0,2.0
ST,Shrey,Gibbs-White,NFO,222531,1,2.0,2.0
ST,Shrey,Eze,CRY,232413,1,3.0,3.0
SS,Santi,Tielemans,AVL,166989,1,1.0,1.0
SS,Santi,T.Silva,CHE,51090,1,2.0,2.0
SS,Santi,Son,TOT,85971,1,2.0,2.0
SS,Santi,Roberts,BUR,192290,1,1.0,1.0
SS,Santi,Morris,LUT,156700,1,8.0,8.0
SS,Santi,Mitrović,FUL,128389,1,1.0,1.0
SS,Santi,Mee,BRE,51927,1,0.0,0.0
SS,Santi,Mbeumo,BRE,446008,1,7.0,7.0
SS,Santi,Ederson M.,MCI,121160,1,6.0,6.0
WN,Will,Watkins,AVL,178301,1,5.0,5.0
YA,Youssef,Casemiro,MUN,61256,1,3.0,3.0
YA,Youssef,Darwin,LIV,447203,1,1.0,1.0
YA,Youssef,João Pedro,BHA,475168,1,7.0,7.0
YE,Youssef,Trippier,NEW,77794,1,2.0,2.0
YE,Youssef,Schär,NEW,119471,1,2.0,2.0
YE,Youssef,Sancho,MUN,209243,1,1.0,1.0
YE,Youssef,Salah,LIV,118748,1,5.0,5.0
YE,Youssef,Onana,MUN,202641,1,9.0,9.0
YE,Youssef,Luis Díaz,LIV,244731,1,8.0,8.0
YE,Youssef,Kulusevski,TOT,445044,1,2.0,2.0
YE,Youssef,Henry,BRE,194010,1,4.0,4.0
YE,Youssef,Ferguson,BHA,487117,1,5.0,5.0
YE,Youssef,Cunha,WOL,430871,1,2.0,2.0
YA1,Yahya,Tarkowski,EVE,17761,1,2.0,2.0
YA1,Yahya,Saka,ARS,223340,1,10.0,10.0
YA1,Yahya,Pope,NEW,98747,1,3.0,3.0
YA1,Yahya,Nkunku,CHE,213198,1,0.0,0.0
YA1,Yahya,Moore,BOU,128340,1,1.0,1.0
YA1,Yahya,Joelinton,NEW,180974,1,2.0,2.0
YA1,Yahya,Jensen,BRE,207283,1,4.0,4.0
YA1,Yahya,Douglas Luiz,AVL,230046,1,1.0,1.0
YA1,Yahya,Burn,NEW,78916,1,2.0,2.0
YA1,Yahya,Botman,NEW,220237,1,5.0,5.0
YA1,Yahya,Andreas,FUL,156689,1,4.0,4.0
YA,Youssef,Walker,MCI,58621,1,6.0,6.0
YA,Youssef,Sanchez,CHE,215059,1,2.0,2.0
YA,Youssef,Rice,ARS,204480,1,2.0,2.0
YA,Youssef,Rashford,MUN,176297,1,3.0,3.0
YA,Youssef,R.Varane,MUN,90152,1,14.0,14.0
YA,Youssef,Mac Allister,LIV,243016,1,1.0,1.0
YA,Youssef,L.Paquetá,WHU,224024,1,1.0,1.0
YA,Youssef,Konaté,LIV,204716,1,2.0,2.0
SS,Santi,De Bruyne,MCI,61366,1,1.0,1.0
SS,Santi,A.Doucoure,EVE,121599,1,2.0,2.0
SL,Sami,Wissa,BRE,216646,1,9.0,9.0
ES,Ege,Ødegaard,ARS,184029,1,2.0,2.0
ES,Ege,Welbeck,BHA,50175,1,2.0,2.0
ES,Ege,Tonali,NEW,432422,1,6.0,6.0
ES,Ege,Robinson,FUL,169528,1,6.0,6.0
ES,Ege,Richarlison,TOT,212319,1,2.0,2.0
ES,Ege,Ramsdale,ARS,225321,1,2.0,2.0
ES,Ege,Perišić,TOT,45034,1,1.0,1.0
ES,Ege,Martinez,MUN,221820,1,0.0,0.0
ES,Ege,Gross,BHA,60307,1,2.0,2.0
ES,Ege,Bernardo,MCI,165809,1,3.0,3.0
AC,Aakar,Zouma,WHU,103192,1,2.0,2.0
AC,Aakar,Rodrigo,MCI,220566,1,13.0,13.0
AC,Aakar,Martial,MUN,148225,1,0.0,0.0
AC,Aakar,Lukaku,CHE,66749,1,0.0,0.0
AC,Aakar,Lindelof,MUN,184667,1,1.0,1.0
AC,Aakar,J.Timber,ARS,445122,1,0.0,0.0
AC,Aakar,Henderson,MUN,172649,1,0.0,0.0
AC,Aakar,Havertz,ARS,219847,1,2.0,2.0
AC,Aakar,Grealish,MCI,114283,1,0.0,0.0
AC,Aakar,Eriksen,MUN,80607,1,1.0,1.0
AC,Aakar,Coutinho,AVL,84583,1,1.0,1.0
AA,Ali,Wan-Bissaka,MUN,214590,1,12.0,12.0
AA,Ali,March,BHA,109345,1,9.0,9.0
AA,Ali,Konsa,AVL,199798,1,0.0,0.0
AA,Ali,Gvardiol,MCI,477424,1,1.0,1.0
AA,Ali,Gakpo,LIV,243298,1,2.0,2.0
AA,Ali,Foden,MCI,209244,1,3.0,3.0
AA,Ali,Diogo J.,LIV,194634,1,1.0,1.0
AA,Ali,Awoniyi,NFO,210156,1,7.0,7.0
AA,Ali,Aké,MCI,126184,1,7.0,7.0
ES,Ege,Wilson,NEW,75115,1,5.0,5.0
RK,Ruslan,Almirón,NEW,179018,1,2.0,2.0
SL,Sami,Wilson,FUL,153682,1,3.0,3.0
RK,Ruslan,Benrahma,WHU,172841,1,2.0,2.0
SL,Sami,Vicario,TOT,184254,1,1.0,1.0
SL,Sami,Shaw,MUN,106760,1,5.0,5.0
SL,Sami,Pinnock,BRE,231065,1,1.0,1.0
SL,Sami,Isak,NEW,219168,1,13.0,13.0
SL,Sami,Enciso,BHA,474120,1,1.0,1.0
SL,Sami,Cash,AVL,199796,1,-1.0,-1.0
SL,Sami,Brooks,BOU,111317,1,2.0,2.0
SL,Sami,Barnes,NEW,201666,1,11.0,11.0
SL,Sami,B.Fernandes,MUN,141746,1,3.0,3.0
SB,Sandipan,Szoboszlai,LIV,424876,1,2.0,2.0
SB,Sandipan,Steele,BHA,49262,1,2.0,2.0
SB,Sandipan,Saliba,ARS,462424,1,5.0,5.0
SB,Sandipan,N.Jackson,CHE,517052,1,1.0,1.0
SB,Sandipan,Mudryk,CHE,465920,1,1.0,1.0
SB,Sandipan,Gabriel,ARS,226597,1,1.0,1.0
SB,Sandipan,Estupiñan,BHA,204214,1,7.0,7.0
SB,Sandipan,Danjuma,EVE,220307,1,1.0,1.0
SB,Sandipan,Colwill,CHE,460028,1,2.0,2.0
SB,Sandipan,Bowen,WHU,178186,1,9.0,9.0
SB,Sandipan,Alexander-Arnold,LIV,169187,1,1.0,1.0
RK,Ruslan,Virgil,LIV,97032,1,2.0,2.0
RK,Ruslan,Veltman,BHA,111478,1,1.0,1.0
RK,Ruslan,Trossard,ARS,116216,1,1.0,1.0
RK,Ruslan,Mount,MUN,184341,1,3.0,3.0
RK,Ruslan,Mitoma,BHA,451340,1,5.0,5.0
RK,Ruslan,José Sá,WOL,149065,1,2.0,2.0
RK,Ruslan,Ings,WHU,84939,1,1.0,1.0
RK,Ruslan,Haaland,MCI,223094,1,13.0,13.0
RK,Ruslan,Dunk,BHA,83299,1,2.0,2.0
YE,Youssef,White,ARS,198869,1,1.0,1.0
